name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	970	960	10	80	130	80	1190	1190	350	269	270	188	155	154	108	550	550	350	840	840	350	t < 800 ms	944	97	800 ms < t < 1200 ms	16	1	t > 1200 ms	0	0	failed	10	1	6	6	0
GET /assets/app/partials/technos/database/championnatList.html	10	10	0	140	140	-1	240	240	-1	170	170	-1	28	28	-1	240	240	-1	240	240	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/images/presentation/diapo_1.png	10	10	0	420	420	-1	530	530	-1	473	473	-1	26	26	-1	530	530	-1	530	530	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/images/technos/backend.jpg	10	10	0	240	240	-1	340	340	-1	273	273	-1	33	33	-1	340	340	-1	340	340	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/controllers/parcoursCtrl.js	10	10	0	130	130	-1	270	270	-1	172	172	-1	40	40	-1	270	270	-1	270	270	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/partials/technos/bdd.html	10	10	0	150	150	-1	280	280	-1	201	201	-1	48	48	-1	280	280	-1	280	280	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/images/technos/front_back.jpg	10	10	0	250	250	-1	340	340	-1	297	297	-1	23	23	-1	340	340	-1	340	340	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET http://maps.googleapis.com/maps/api/js/AuthenticationService.Authenticate	10	0	10	80	-1	80	350	-1	350	188	-1	188	108	-1	108	350	-1	350	350	-1	350	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	10	100	0	-1	0
GET /assets/app/js/services/formationsService.js	10	10	0	150	150	-1	300	300	-1	213	213	-1	60	60	-1	300	300	-1	300	300	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /infosGenerales	10	10	0	150	150	-1	240	240	-1	167	167	-1	27	27	-1	240	240	-1	240	240	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/partials/index.html	10	10	0	150	150	-1	190	190	-1	167	167	-1	13	13	-1	190	190	-1	190	190	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/controllers/championnatCtrl.js	10	10	0	150	150	-1	170	170	-1	159	159	-1	7	7	-1	170	170	-1	170	170	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/controllers/authenticateCtrl.js	10	10	0	150	150	-1	320	320	-1	203	203	-1	58	58	-1	320	320	-1	320	320	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/services/infosGeneralesService.js	10	10	0	150	150	-1	280	280	-1	203	203	-1	56	56	-1	280	280	-1	280	280	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET http://maps.googleapis.com/maps/api/js	10	10	0	170	170	-1	360	360	-1	254	254	-1	72	72	-1	360	360	-1	360	360	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/lib/highlight/angular-highlightjs.min.js	10	10	0	140	140	-1	350	350	-1	214	214	-1	70	70	-1	350	350	-1	350	350	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/services/informationsService.js	10	10	0	150	150	-1	270	270	-1	195	195	-1	48	48	-1	270	270	-1	270	270	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/services/authService.js	10	10	0	140	140	-1	400	400	-1	281	281	-1	93	93	-1	400	400	-1	400	400	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /connexion	10	10	0	190	190	-1	390	390	-1	320	320	-1	63	63	-1	390	390	-1	390	390	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/controllers/clubCtrl.js	10	10	0	150	150	-1	360	360	-1	266	266	-1	74	74	-1	360	360	-1	360	360	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/services/championnatService.js	10	10	0	160	160	-1	400	400	-1	266	266	-1	81	81	-1	400	400	-1	400	400	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/controllers/module.js	10	10	0	150	150	-1	210	210	-1	180	180	-1	24	24	-1	210	210	-1	210	210	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/filters/truncateText.js	10	10	0	140	140	-1	390	390	-1	290	290	-1	79	79	-1	390	390	-1	390	390	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/images/presentation/diapo_3.png	10	10	0	920	920	-1	1190	1190	-1	1052	1052	-1	93	93	-1	1190	1190	-1	1190	1190	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	10	100	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/js/routes.js	10	10	0	430	430	-1	660	660	-1	534	534	-1	71	71	-1	660	660	-1	660	660	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /assets/app/lib/angular/angular-resource.min.js	10	10	0	150	150	-1	210	210	-1	165	165	-1	18	18	-1	210	210	-1	210	210	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
GET /getImage	220	220	0	150	150	-1	590	590	-1	217	217	-1	86	86	-1	420	420	-1	550	550	-1	t < 800 ms	220	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
GET /assets/app/js/controllers/technosCtrl.js	10	10	0	150	150	-1	630	630	-1	364	364	-1	218	218	-1	630	630	-1	630	630	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	0	0	-1
